"Longitude";"Latitude";"Parameter.Name";"Arithmetic.Mean";"City.Name"
-92,328697;34,681343;"Ozone";0,040076;"Little Rock"
-92,328697;34,681343;"PM2.5 - Local Conditions";10,895614;"Little Rock"
-92,669619;33,220274;"PM2.5 - Local Conditions";9,555833;"El Dorado"
-94,116827;36,1797;"Ozone";0,043371;"Springdale"
-94,116827;36,1797;"PM2.5 - Local Conditions";9,276271;"Springdale"
-94,167436;36,011703;"Ozone";0,045215;"Fayetteville"
-121,784217;37,687526;"Ozone";0,036134;"Livermore"
-121,784217;37,687526;"PM2.5 - Local Conditions";8,601449;"Livermore"
-122,169935;37,743065;"Ozone";0,026014;"Oakland"
-122,169935;37,743065;"PM2.5 - Local Conditions";10,354167;"Oakland"
-122,282347;37,814781;"Ozone";0,025011;"Oakland"
-122,282347;37,814781;"PM2.5 - Local Conditions";12,771176;"Oakland"
-122,031547;37,654456;"Ozone";0,034099;"Hayward"
-120,763515;38,339905;"Ozone";0,041329;"Jackson"
-121,84162;39,761538;"Ozone";0,041212;"Chico"
-121,84162;39,761538;"PM2.5 - Local Conditions";10,15375;"Chico"
-120,681567;38,201852;"Ozone";0,040028;"San Andreas"
-120,681567;38,201852;"PM2.5 - Local Conditions";8,29711;"San Andreas"
-122,281803;39,021221;"PM2.5 - Local Conditions";88,125205;"Cortina Indian Rancheria"
-122,017728;39,202935;"Ozone";0,03699;"Colusa"
-122,017728;39,202935;"PM2.5 - Local Conditions";7,048148;"Colusa"
-122,026154;37,936013;"Ozone";0,031911;"Concord"
-122,026154;37,936013;"PM2.5 - Local Conditions";7,588796;"Concord"
-121,641918;38,006311;"Ozone";0,037098;"Bethel Island"
-122,356811;37,9604;"Ozone";0,030042;"San Pablo"
-122,356811;37,9604;"PM2.5 - Local Conditions";12,008889;"San Pablo"
-121,934188;37,743649;"Ozone";0,035118;"San Ramon"
-120,821916;38,725282;"Ozone";0,050176;"Placerville"
-119,774174;36,785322;"Ozone";0,049024;"Fresno"
-119,774174;36,785322;"PM2.5 - Local Conditions";16,899107;"Fresno"
-119,774174;36,785322;"PM2.5 - Local Conditions";17,380952;"Fresno"
-119,774174;36,785322;"PM2.5 - Local Conditions";16,250476;"Fresno"
-119,874444;36,841389;"Ozone";0,056778;"Fresno"
-119,503611;36,5975;"Ozone";0,057445;"Parlier"
-119,717356;36,819111;"Ozone";0,05669;"Clovis"
-119,717356;36,819111;"PM2.5 - Local Conditions";16,791566;"Clovis"
-119,717356;36,819111;"PM2.5 - Local Conditions";12,563672;"Clovis"
-119,733;36,72639;"PM2.5 - Local Conditions";17,660674;"Fresno"
-124,1621;40,80178;"PM2.5 - Local Conditions";7,7;"Eureka"
-124,1775;40,776944;"Ozone";0,027301;"Eureka"
-124,1775;40,776944;"PM2.5 - Local Conditions";10,66087;"Eureka"
-115,484144;32,676186;"Ozone";0,045053;"Calexico"
-115,484144;32,676186;"PM2.5 - Local Conditions";13,292623;"Calexico"
-115,484144;32,676186;"PM2.5 - Local Conditions";13,618182;"Calexico"
-115,53917;32,97833;"PM2.5 - Local Conditions";7,237705;"Brawley"
